,RMSE,MAE,Accuracy
LLM,1.0376254944182253,0.67,0.5033333333333333
Quantum kNN,1.2069244660154448,0.7966666666666666,0.4666666666666667
Grover-only LLM,1.0376254944182253,0.67,0.5033333333333333
Q-LLM (Hybrid),1.0519822558706333,0.8533333333333334,0.2733333333333333
